COD_MUNICIPIO;COD_UNICO_ENDERECO;NUM_QUADRA;NOM_LOGRADOURO;NUM_ENDERECO;NOM_LOGRADOURO_ADJACENTE;DIM_TESTADA;DIM_PROFUNDIDADE
4300703;4300703.0000000822;4300703.1-1.006;RUA ARMINHO MIOTTO;1372;;20;40
4300703;4300703.0000001386;4300703.1-1.006;RUA ARMINHO MIOTTO;1442;RUA MARECHAL HERMES            ;15,25;25,5
4300703;4300703.0000000280;4300703.1-1.006;RUA ARMINHO MIOTTO;1348;;20,2;40,73
4300703;4300703.0000001274;4300703.1-1.006;RUA ARMINHO MIOTTO;00000;VERDADEIRO;21,77;58,33
4300703;4300703.0000001887;4300703.1-1.006;RUA ARMINHO MIOTTO;1308;;14;40,01
4300703;4300703.0000000921;4300703.1-1.006;RUA ARMINHO MIOTTO;1404;;13;40
4300703;4300703.0000001387;4300703.1-1.006;RUA ARMINHO MIOTTO;00000;;12;27,19
4300703;4300703.0000001273;4300703.1-1.006;RUA ARMINHO MIOTTO;1328;;14;40,99
4300703;4300703.0000000372;4300703.1-1.006;RUA ARMINHO MIOTTO;1388;;20;40
4300703;4300703.0000000609;4300703.1-1.006;RUA CORONEL BENTO GONÇALVES             ;302;RUA ARMINHO MIOTTO;56,35;14,18
4300703;4300703.0000001277;4300703.1-1.006;RUA CORONEL BENTO GONÇALVES             ;00000;;18,67;39,74
4300703;4300703.0000000753;4300703.1-1.006;RUA marechal HERMES;343;;13;29,15
4300703;4300703.0000001789;4300703.1-1.006;RUA PINHEIRO MACHADO;689;;13;40
4300703;4300703.0000000521;4300703.1-1.006;RUA PINHEIRO MACHADO;669;;33,3;40,62
4300703;4300703.0000000722;4300703.1-1.006;RUA PINHEIRO MACHADO;00000;;18,31;39,69
4300703;4300703.0000000387;4300703.1-1.006;RUA PINHEIRO MACHADO;639;;15;40
4300703;4300703.0000000719;4300703.1-1.006;RUA PINHEIRO MACHADO;529;;18,31;24,77
4300703;4300703.0000003421;4300703.1-1.006;RUA PINHEIRO MACHADO;529;;18,31;1,99
4300703;4300703.0000000720;4300703.1-1.006;RUA PINHEIRO MACHADO;529;;18,31;0,94
4300703;4300703.0000000721;4300703.1-1.006;RUA PINHEIRO MACHADO;00000;;18,31;1,99
