cod_municipio;cod_unico_endereco;num_quadra;nom_logradouro;num_endereco;nom_logradouro_adjacente;dim_testada;dim_profundidade
4104501;4104501.100021-0;4104501.100021-0; RUA PARA;1974;;10;20
4104501;4104501.10006-3;4104501.10006-3; RUA MATO GROSSO;1675;;10;20
4104501;4104501.10014-1;4104501.10014-1; RUA PADRE CIRILO;1099;;10;20
4104501;4104501.10022-0;4104501.10022-0; AV. INDEPENDENCIA ;0;;10;20
4104501;4104501.100269-1;4104501.100269-1; AV.  GOV.PEDRO V P DE SOUZA;1264;;10;20
4104501;4104501.10031-1;4104501.10031-1; RUA MINAS GERAIS;1604;;10;20
4104501;4104501.10049-1;4104501.10049-1; AV. INDEPENDENCIA ;86;;10;20
4104501;4104501.10057-0;4104501.10057-0; RUA PADRE CIRILO;1069;;10;20
4104501;4104501.100641-1;4104501.100641-1; RUA BAHIA;971;;10;20
4104501;4104501.10065-1;4104501.10065-1; AV. INDEPENDENCIA ;70;;10;20
4104501;4104501.10065-2;4104501.10065-2; AV. INDEPENDENCIA ;70;;10;20
4104501;4104501.100676-1;4104501.100676-1; RUA ANTONIO NIEHUES;1186;;10;20
4104501;4104501.100676-2;4104501.100676-2; RUA ANTONIO NIEHUES;1186;;10;20
4104501;4104501.100676-3;4104501.100676-3; RUA ANTONIO NIEHUES;1186;;10;20
4104501;4104501.100676-4;4104501.100676-4; RUA ANTONIO NIEHUES;1186;;10;20
4104501;4104501.100692-3;4104501.100692-3; RUA ANTONIO NIEHUES;1161;;10;20
4104501;4104501.1007-0;4104501.1007-0; RUA PADRE CIRILO;0;;10;20
4104501;4104501.100706-1;4104501.100706-1; RUA RIO DE JANEIRO;1461;;10;20
4104501;4104501.100714-1;4104501.100714-1; RUA OTAVIO KISCHNER;1406;;10;20
4104501;4104501.100722-1;4104501.100722-1; RUA OTAVIO KISCHNER;181;;10;20
4104501;4104501.10073-0;4104501.10073-0; RUA PADRE CIRILO;1059;;10;20
4104501;4104501.100773-1;4104501.100773-1; AV. PARANA;1409;;10;20
4104501;4104501.100773-2;4104501.100773-2; AV. PARANA;1409;;10;20
4104501;4104501.100773-3;4104501.100773-3; AV. PARANA;1409;;10;20
4104501;4104501.100773-4;4104501.100773-4; AV. PARANA;1409;;10;20
4104501;4104501.100773-5;4104501.100773-5; AV. PARANA;1409;;10;20
4104501;4104501.100773-6;4104501.100773-6; AV. PARANA;1409;;10;20
4104501;4104501.10081-1;4104501.10081-1; RUA PADRE CIRILO;1033;;10;20
4104501;4104501.100846-1;4104501.100846-1; AV. BRASIL;99;;10;20
4104501;4104501.100846-2;4104501.100846-2; AV. BRASIL;99;;10;20
4104501;4104501.100854-1;4104501.100854-1; RUA PADRE CIRILO;1535;;10;20
4104501;4104501.100862-1;4104501.100862-1; RUA PADRE CIRILO;1463;;10;20
4104501;4104501.100871-1;4104501.100871-1; RUA TAMOIOS;1444;;10;20
4104501;4104501.100889-1;4104501.100889-1; AV. BOTUCARIS ;1812;;10;20
4104501;4104501.100897-1;4104501.100897-1; RUA ANTONIO NIEHUES;320;;10;20
4104501;4104501.10090-1;4104501.10090-1; RUA PADRE CIRILO;1015;;10;20
4104501;4104501.100901-0;4104501.100901-0; AV.  GOV.PEDRO V P DE SOUZA;380;;10;20
4104501;4104501.100919-1;4104501.100919-1; AV. GOV. PEDRO V P DE SOUZA;64;;10;20
4104501;4104501.100927-1;4104501.100927-1; AV. GOV. PEDRO V P DE SOUZA;113;;10;20
4104501;4104501.100943-1;4104501.100943-1; AV. INDEPENDENCIA;894;;10;20
4104501;4104501.100945-1;4104501.100945-1; RUA MATO GROSSO;29;;10;20
4104501;4104501.100946-1;4104501.100946-1; RUA PADRE CIRILO;1747>;;10;20
4104501;4104501.100947-1;4104501.100947-1; RUA OTAVIO FRANCISCO DE MATTOS;1576;;10;20
4104501;4104501.100951-1;4104501.100951-1; RUA OTAVIO FRANCISCO DE MATTOS;1566;;10;20
4104501;4104501.100960-0;4104501.100960-0; RUA AMAMBAY ;1305;;10;20
4104501;4104501.100978-0;4104501.100978-0; RUA AMAMBAY ;1313;;10;20
