COD_MUNICIPIO;COD_UNICO_ENDERECO;ID_QUADRA;NOM_LOGRADOURO;NUM_ENDERECO;NOM_LOGRADOURO_ADJACENTE;DIM_TESTADA;DIM_PROFUNDIDADE
4104501;4104501.5886-0;410450105000001P013;AV. BOTUCARIS;0;;10;20
4104501;4104501.90263-0;410450105000001P013;AV. BOTUCARIS ;0;;10;20
4104501;4104501.90905-0;410450105000001P013;AV. BOTUCARIS;0;;10;20
4104501;4104501.106313-1;410450105000008P012;AV. BOTUCARIS;1004;;10;20
4104501;4104501.106313-2;410450105000008P012;AV. BOTUCARIS;1004;;10;20
4104501;4104501.106313-3;410450105000008P012;AV. BOTUCARIS;1004;;10;20
4104501;4104501.34045-1;410450105000008P001;AV. BOTUCARIS;1015;;10;20
4104501;4104501.49107-1;410450105000001P017;AV. BOTUCARIS;102;;10;20
4104501;4104501.127272-1;410450105000008P012;AV. BOTUCARIS;1020;;10;20
4104501;4104501.6921-0;410450105000008P001;AV. BOTUCARIS;1025;;10;20
4104501;4104501.7056-1;410450105000008P012;AV. BOTUCARIS;1030;;10;20
4104501;4104501.7056-4;410450105000008P012;AV. BOTUCARIS;1030;;10;20
4104501;4104501.7081-3;410450105000008P012;AV. BOTUCARIS;1040;;10;20
4104501;4104501.7081-4;410450105000008P012;AV. BOTUCARIS;1040;;10;20
4104501;4104501.6491-1;410450105000025P004;AV. BOTUCARIS;1100;;10;20
4104501;4104501.6491-2;410450105000025P004;AV. BOTUCARIS;1100;;10;20
4104501;4104501.6386-1;410450105000025P009;AV. BOTUCARIS;1115;;10;20
4104501;4104501.6360-1;410450105000025P009;AV. BOTUCARIS;1127;;10;20
4104501;4104501.37516-1;410450105000025P009;AV. BOTUCARIS;1131;;10;20
4104501;4104501.6513-1;410450105000025P004;AV. BOTUCARIS;1132;;10;20
4104501;4104501.6521-1;410450105000025P004;AV. BOTUCARIS;1140;;10;20
4104501;4104501.6521-2;410450105000025P004;AV. BOTUCARIS;1140;;10;20
4104501;4104501.37508-1;410450105000025P009;AV. BOTUCARIS;1145;;10;20
4104501;4104501.6475-1;410450105000025P004;AV. BOTUCARIS;1148;;10;20
4104501;4104501.49093-1;410450105000001P017;AV. BOTUCARIS;116;;10;20
4104501;4104501.47325-1;410450105000025P008;AV. BOTUCARIS;1211;;10;20
4104501;4104501.47325-2;410450105000025P008;AV. BOTUCARIS;1211;;10;20
4104501;4104501.108197-1;410450105000025P005;AV. BOTUCARIS;1218;;10;20
4104501;4104501.5878-1;410450105000025P008;AV. BOTUCARIS;1223;;10;20
4104501;4104501.5916-1;410450105000025P005;AV. BOTUCARIS;1230;;10;20
4104501;4104501.5916-2;410450105000025P005;AV. BOTUCARIS;1230;;10;20
4104501;4104501.14761-1;410450105000001P017;AV. BOTUCARIS;124;;10;20
4104501;4104501.5991-1;410450105000025P005;AV. BOTUCARIS;1254;;10;20
4104501;4104501.5801-1;410450105000025P008;AV. BOTUCARIS;1283;;10;20
4104501;4104501.5347-1;410450105000025P006;AV. BOTUCARIS;1346;;10;20
4104501;4104501.5240-1;410450105000025P007;AV. BOTUCARIS;1355;;10;20
4104501;4104501.5240-2;410450105000025P007;AV. BOTUCARIS;1355;;10;20
4104501;4104501.5274-1;410450105000025P006;AV. BOTUCARIS;1370;;10;20
4104501;4104501.30864-1;410450105000025P007;AV. BOTUCARIS;1373;;10;20
4104501;4104501.5215-1;410450105000025P007;AV. BOTUCARIS;1385;;10;20
4104501;4104501.5193-2;410450105000025P007;AV. BOTUCARIS;1399;;10;20
4104501;4104501.5193-3;410450105000025P007;AV. BOTUCARIS;1399;;10;20
4104501;4104501.120065-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.120073-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.120219-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.120227-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.5177-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.81540-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.81558-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.83020-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.83038-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.83054-1;410450105000025P007;AV. BOTUCARIS;1419;;10;20
4104501;4104501.90271-1;410450105000025P006;AV. BOTUCARIS;1422;;10;20
4104501;4104501.4553-1;410450105000028P031;AV. BOTUCARIS ;1559;;10;20
4104501;4104501.86495-1;410450105000028P032;AV. BOTUCARIS ;1568;;10;20
4104501;4104501.31909-1;410450105000028P031;AV. BOTUCARIS ;1569;;10;20
4104501;4104501.4502-1;410450105000028P031;AV. BOTUCARIS ;1585;;10;20
4104501;4104501.4502-2;410450105000028P031;AV. BOTUCARIS ;1585;;10;20
4104501;4104501.4103-1;410450105000028P028;AV. BOTUCARIS ;1615;;10;20
4104501;4104501.4103-2;410450105000028P028;AV. BOTUCARIS ;1615;;10;20
4104501;4104501.4201-1;410450105000028P028;AV. BOTUCARIS ;1645;;10;20
4104501;4104501.4154-1;410450105000028P028;AV. BOTUCARIS ;1671;;10;20
4104501;4104501.4154-2;410450105000028P028;AV. BOTUCARIS ;1671;;10;20
4104501;4104501.4219-1;410450105000028P027;AV. BOTUCARIS ;1690;;10;20
4104501;4104501.4219-2;410450105000028P027;AV. BOTUCARIS ;1690;;10;20
4104501;4104501.4219-3;410450105000028P027;AV. BOTUCARIS ;1690;;10;20
4104501;4104501.4219-4;410450105000028P027;AV. BOTUCARIS ;1690;;10;20
4104501;4104501.4138-1;410450105000028P028;AV. BOTUCARIS ;1699;;10;20
4104501;4104501.4138-2;410450105000028P028;AV. BOTUCARIS ;1699;;10;20
4104501;4104501.105686-1;410450105000028P028;AV. BOTUCARIS ;1711;;10;20
4104501;4104501.80314-1;410450105000028P023;AV. BOTUCARIS ;1763;;10;20
4104501;4104501.3701-2;410450105000028P023;AV. BOTUCARIS ;1777;;10;20
4104501;4104501.3824-1;410450105000028P024;AV. BOTUCARIS ;1790;;10;20
4104501;4104501.100889-1;410450105000028P024;AV. BOTUCARIS ;1812;;10;20
4104501;4104501.3654-1;410450105000028P023;AV. BOTUCARIS ;1833;;10;20
4104501;4104501.3654-2;410450105000028P023;AV. BOTUCARIS ;1833;;10;20
4104501;4104501.3654-3;410450105000028P023;AV. BOTUCARIS ;1833;;10;20
4104501;4104501.3735-2;410450105000028P024;AV. BOTUCARIS ;1838;;10;20
4104501;4104501.17400-1;410450105000028P023;AV. BOTUCARIS ;1845;;10;20
4104501;4104501.112241-1;410450105000012P000;AV. BOTUCARIS ;2025;;10;20
